"sub_region_1","retail_and_recreation_percent_change_from_baseline_2021-01","retail_and_recreation_percent_change_from_baseline_2021-02","retail_and_recreation_percent_change_from_baseline_2021-03","grocery_and_pharmacy_percent_change_from_baseline_2021-01","grocery_and_pharmacy_percent_change_from_baseline_2021-02","grocery_and_pharmacy_percent_change_from_baseline_2021-03","parks_percent_change_from_baseline_2021-01","parks_percent_change_from_baseline_2021-02","parks_percent_change_from_baseline_2021-03","transit_stations_percent_change_from_baseline_2021-01","transit_stations_percent_change_from_baseline_2021-02","transit_stations_percent_change_from_baseline_2021-03","workplaces_percent_change_from_baseline_2021-01","workplaces_percent_change_from_baseline_2021-02","workplaces_percent_change_from_baseline_2021-03","residential_percent_change_from_baseline_2021-01","residential_percent_change_from_baseline_2021-02","residential_percent_change_from_baseline_2021-03","JF_change_retail","FM_change_retail","retail_pattern","JF_change_grocery","FM_change_grocery","grocery_pattern","JF_change_parks","FM_change_parks","parks_pattern","JF_change_transit","FM_change_transit","transit_pattern","JF_change_workplace","FM_change_workplace","workplaces_pattern","JF_change_residential","FM_change_residential","residential_pattern"
"New Jersey",-29.741935483871,-31.5714285714286,-17.3870967741935,-13.4838709677419,-15.75,-6,-11.9032258064516,-26.7142857142857,27.5161290322581,-48.2903225806452,-49.4285714285714,-39.5806451612903,-33.8387096774194,-36.0714285714286,-31.1612903225806,13.9677419354839,15.25,10.7096774193548,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"New Mexico",-29.3225806451613,-24.1428571428571,-11,-15,-10.5714285714286,-4.38709677419355,-23.2903225806452,-19.1428571428571,-2.32258064516129,-22.1290322580645,-19,-3.74193548387097,-32.1935483870968,-30.5,-28.9354838709677,12.3548387096774,10.8214285714286,7.67741935483871,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"New York",-36.6129032258064,-36.4285714285714,-23.9354838709677,-17.0322580645161,-17.1785714285714,-10.3548387096774,-31.1612903225806,-37.2142857142857,-7.06451612903226,-52.0322580645161,-50.7857142857143,-44.4193548387097,-34.4516129032258,-35.3928571428571,-31.8064516129032,13.2258064516129,13.4642857142857,9.87096774193548,"Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"North Carolina",-22.8709677419355,-19.3928571428571,-8.48387096774194,-10.6129032258065,-7.57142857142857,-1.2258064516129,-13.4516129032258,-11.6071428571429,19.0967741935484,-36.5483870967742,-33.9642857142857,-22.8387096774194,-28.1935483870968,-25.25,-23.8387096774194,10.258064516129,8.85714285714286,6.19354838709677,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"North Dakota",-17.5806451612903,-15.6428571428571,-3.74193548387097,-17.3870967741935,-14.9642857142857,-9.16129032258065,-14.2258064516129,-20.5357142857143,9.45161290322581,-26.8709677419355,-24.4285714285714,-10.3548387096774,-17.9354838709677,-16.2142857142857,-16,8.09677419354839,6.92857142857143,4.29032258064516,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Ohio",-22.8064516129032,-21.5357142857143,-5.70967741935484,-13.4516129032258,-11.0357142857143,-2.96774193548387,-5.48387096774194,-8.21428571428571,59.1612903225806,-26.1935483870968,-25.3214285714286,-10.7096774193548,-24.7741935483871,-23.3928571428571,-21.2258064516129,9.96774193548387,9.5,5.80645161290323,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"Oklahoma",-15.4516129032258,-20.9642857142857,3,-8.96774193548387,-10.25,3.67741935483871,-20.6129032258065,-29.8928571428571,23.5483870967742,-11.7096774193548,-15.5357142857143,10,-21.9677419354839,-28.6071428571429,-19.1612903225806,8.41935483870968,11.2857142857143,3.80645161290323,"Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Oregon",-29.1290322580645,-25.5357142857143,-11.4838709677419,-12.4838709677419,-9.75,-4.35483870967742,2.67741935483871,0.571428571428571,33.0322580645161,-39.3870967741936,-38.6428571428571,-26.5483870967742,-32.5161290322581,-33.2857142857143,-29.6129032258065,11.1290322580645,10.1428571428571,7.51612903225806,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Dec","Dec","Dec Dec"
"Pennsylvania",-27.6451612903226,-26.75,-11.0645161290323,-14.3870967741935,-14.0357142857143,-4.41935483870968,-18.3870967741935,-29.3928571428571,21.9354838709677,-42.3225806451613,-41.9642857142857,-31.4516129032258,-29.7741935483871,-29.8571428571429,-25.1612903225806,11.8064516129032,12.0714285714286,7.80645161290323,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Dec","Inc Dec"
"Rhode Island",-27.6129032258065,-26.3571428571429,-14,-15.4193548387097,-14.1071428571429,-8.48387096774194,9.90322580645161,-3.57142857142857,56.7741935483871,-49.5806451612903,-49.4642857142857,-37.7741935483871,-29.9032258064516,-29.25,-25.5483870967742,11.6129032258065,11.0714285714286,7.83870967741935,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Inc","Dec Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
"South Carolina",-17.741935483871,-12.5357142857143,0.612903225806452,-10.0645161290323,-6.28571428571429,0.935483870967742,-18.6774193548387,-13.8571428571429,18.0322580645161,-16.1290322580645,-13.7142857142857,3.03225806451613,-24.3225806451613,-20.4285714285714,-18.6774193548387,8.7741935483871,6.92857142857143,4.58064516129032,"Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Inc","Inc","Inc Inc","Dec","Dec","Dec Dec"
